110,+30.88276,-087.10249,Jay
130,+30.79957,-085.22934,Marianna
140,+30.55567,-084.63183,Quincy
150,+29.85377,-084.73583,Carrabelle
160,+30.50421,-083.84327,Monticello
170,+30.17586,-083.84327,Live Oak
180,+30.28462,-082.16013,Macclenny
230,+29.43104,-082.54982,Bronson
240,+29.73683,-081.95796,Putnam Hall
250,+29.41129,-082.08465,Citra
260,+29.79203,-082.49596,Alachua
270,+29.68875,-081.40608,Hastings
280,+29.08688,-081.90525,Ocklawaha
290,+29.24462,-081.47198,Pierson
302,+28.92537,-081.68014,Umatilla
303,+28.74751,-081.89588,Okahumpka
304,+28.55647,-081.33664,Avalon
310,+28.58619,-082.39585,Brooksville
320,+28.63542,-081.48884,Apopka
330,+28.09242,-081.72755,Lake Alfred
340,+27.93321,-081.09244,Kenansville
350,+27.76476,-082.27340,Balm
360,+27.97574,-082.24041,Dover
371,+27.45053,-081.89972,Indian River
380,+27.72938,-081.55934,Ona
390,+26.63006,-081.09089,Frost Proof
405,+26.64589,-080.43026,Clewiston
410,+26.09841,-080.18216,Belle Glade
420,+27.41212,-080.53416,Fort Lauderdale
430,+25.55842,-080.45816,Fort Pierce
440,+26.18437,-081.41517,Homestead
450,+26.94644,-081.30911,Immokalee
460,+27.45794,-081.37301,Palmdale
470,+27.07475,-082.17560,Sebring
480,+27.18614,-081.80993,North Port
490,+27.619,-80.572,Arcadia
