260,29.803,-82.410,Alachua
240,29.697,-81.983,Putnam Hall
241,27.2598,-81.6695,Joshua
110,30.775,-87.140,Jay
280,29.020,-81.968,Ocklawaha
330,28.102,-81.712,Lake Alfred
450,26.462,-81.440,Immokalee
380,27.398,-81.940,Ona
311,28.3497,-82.2086,Dade City
360,28.017,-82.233,Dover
435,27.337849,-80.619202,St. Lucie West
170,30.303,-82.900,Live Oak
150,29.843,-84.695,Carrabelle
455,27.330566,-80.851379,Okeechobee
480,27.148,-82.193,North Port
410,26.668,-80.632,Belle Glade
130,30.850,-85.165,Marianna
250,29.410,-82.170,Citra
390,27.76,-81.54,Frostproof
302,28.920,-81.632,Umatilla
121,30.0795,-83.2345,Mayo
304,28.477,-81.640,Avalon
303,28.682,-81.887,Okahumpka
230,29.402,-82.587,Bronson
371,27.619,-80.572,Indian River
270,29.693,-81.445,Hastings
290,29.223,-81.448,Pierson
320,28.642,-81.550,Apopka
350,27.760,-82.223,Balm
460,26.925,-81.402,Palmdale
275,28.829110,-82.498912,Lecanto
180,30.282,-82.138,Macclenny
405,26.739,-81.053,Clewiston
440,25.510,-80.498,Homestead
470,27.422,-81.402,Sebring
340,27.963,-81.050,Kenansville
160,30.538,-83.917,Monticello
490,27.226,-81.838,Arcadia
120,30.8753,-86.2141,DeFuniak Springs
420,26.087,-80.242,Fort Lauderdale
140,30.545,-84.597,Quincy
425,26.681391,-80.300722,Wellington
